ISO_WEEK,DAILY_CASES,DAILY_DEATHS
1,15535,388
2,19717,463
3,18083,538
4,12154,526
5,8708,482
6,6328,346
7,5139,247
8,4972,219
9,4413,193
10,4229,192
11,4148,167
12,4298,179
13,8632,226
14,11962,304
15,13679,482
16,14596,514
17,12162,577
18,8778,542
19,6320,429
20,8267,403
21,9275,392
22,10408,374
23,13265,488
24,14128,524
25,22318,619
26,35452,682
27,52076,983
28,49777,1162
29,28491,1194
30,23592,1258
31,17779,1073
32,13280,896
33,16957,710
34,19690,832
35,13460,448
36,10972,388
37,14909,285
38,4986,242
39,3069,189
40,1654,96
41,1136,68
42,920,64
43,888,89
44,673,34
45,2383,36
46,546,32
47,980,23
48,1115,35
49,1156,29
50,1419,33
51,1942,63
52,5048,53
